OWNER,TABLE_NAME,TABLE_BUSINESS_NAME,TABLE_DESCRIPTION,grain,COLUMN_ID,COLUMN_NAME,COLUMN_BUSINESS_NAME,COLUMN_DESCRIPTION,DATA_TYPE,DATA_LENGTH,DATA_PRECISION,DATA_SCALE,NULLABLE
CENTRALSERVICES,COLLECTORSTATS,Collector Statistics,"Daily per-collector performance statistics: published vs expected readings, gaps, comm failures, mesh layers, and data/network scores.",One row per collector per statistic date,11,MAXLAYER,,,NUMBER,22,3.0,0.0,True
CENTRALSERVICES,COLLECTORSTATS,Collector Statistics,"Daily per-collector performance statistics: published vs expected readings, gaps, comm failures, mesh layers, and data/network scores.",One row per collector per statistic date,12,AVGLAYER,,,FLOAT,22,126.0,,True
CENTRALSERVICES,COLLECTORSTATS,Collector Statistics,"Daily per-collector performance statistics: published vs expected readings, gaps, comm failures, mesh layers, and data/network scores.",One row per collector per statistic date,13,COMMFAILURES,,,NUMBER,22,5.0,0.0,True
CENTRALSERVICES,COLLECTORSTATS,Collector Statistics,"Daily per-collector performance statistics: published vs expected readings, gaps, comm failures, mesh layers, and data/network scores.",One row per collector per statistic date,14,AVGCOST,,,NUMBER,22,3.0,0.0,True
CENTRALSERVICES,COLLECTORSTATS,Collector Statistics,"Daily per-collector performance statistics: published vs expected readings, gaps, comm failures, mesh layers, and data/network scores.",One row per collector per statistic date,15,OUTAGESREPORTED,,,NUMBER,22,5.0,0.0,True
CENTRALSERVICES,COLLECTORSTATS,Collector Statistics,"Daily per-collector performance statistics: published vs expected readings, gaps, comm failures, mesh layers, and data/network scores.",One row per collector per statistic date,16,AVGRESPONSETIMESEC,,,NUMBER,22,5.0,0.0,True
CENTRALSERVICES,COLLECTORSTATS,Collector Statistics,"Daily per-collector performance statistics: published vs expected readings, gaps, comm failures, mesh layers, and data/network scores.",One row per collector per statistic date,17,BYTESSENTTOCOLLECTOR,,,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COLLECTORSTATS,Collector Statistics,"Daily per-collector performance statistics: published vs expected readings, gaps, comm failures, mesh layers, and data/network scores.",One row per collector per statistic date,18,BYTESRECVFROMCOLLECTOR,,,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COLLECTORSTATS,Collector Statistics,"Daily per-collector performance statistics: published vs expected readings, gaps, comm failures, mesh layers, and data/network scores.",One row per collector per statistic date,19,DATASCORE,,,NUMBER,22,3.0,0.0,True
CENTRALSERVICES,COLLECTORSTATS,Collector Statistics,"Daily per-collector performance statistics: published vs expected readings, gaps, comm failures, mesh layers, and data/network scores.",One row per collector per statistic date,20,NETWORKSCORE,,,NUMBER,22,3.0,0.0,True
CENTRALSERVICES,COLLECTORSTATS,Collector Statistics,"Daily per-collector performance statistics: published vs expected readings, gaps, comm failures, mesh layers, and data/network scores.",One row per collector per statistic date,21,TOTALGOODPACKETS,,,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COLLECTORSTATS,Collector Statistics,"Daily per-collector performance statistics: published vs expected readings, gaps, comm failures, mesh layers, and data/network scores.",One row per collector per statistic date,22,TOTAL3DAYGOODPACKETS,,,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COLLECTORSTATS,Collector Statistics,"Daily per-collector performance statistics: published vs expected readings, gaps, comm failures, mesh layers, and data/network scores.",One row per collector per statistic date,23,EXPECTEDIDREADINGS,,,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COLLECTORSTATS,Collector Statistics,"Daily per-collector performance statistics: published vs expected readings, gaps, comm failures, mesh layers, and data/network scores.",One row per collector per statistic date,24,RECEIVEDIDREADINGS,,,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COLLECTORSTATS,Collector Statistics,"Daily per-collector performance statistics: published vs expected readings, gaps, comm failures, mesh layers, and data/network scores.",One row per collector per statistic date,25,METERSWITHLPREADINGGAPS,,,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COLLECTORSTATS,Collector Statistics,"Daily per-collector performance statistics: published vs expected readings, gaps, comm failures, mesh layers, and data/network scores.",One row per collector per statistic date,26,TOTALLPREADINGGAPS,,,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COLLECTORSTATS,Collector Statistics,"Daily per-collector performance statistics: published vs expected readings, gaps, comm failures, mesh layers, and data/network scores.",One row per collector per statistic date,27,TENANTID,,,NUMBER,22,10.0,0.0,False
CENTRALSERVICES,COMMANDLOG,Command Log,Commands issued by the Central Server. A single command may fan out to multiple collectors. Very large and fast-changing table - slow to query.,One row per issued command,1,COMMANDLOGID,Command Log Identifier,Unique identifier for the issued command.,NUMBER,22,10.0,0.0,False
CENTRALSERVICES,COMMANDLOG,Command Log,Commands issued by the Central Server. A single command may fan out to multiple collectors. Very large and fast-changing table - slow to query.,One row per issued command,2,ORGANIZATIONID,,,NUMBER,22,10.0,0.0,False
CENTRALSERVICES,COMMANDLOG,Command Log,Commands issued by the Central Server. A single command may fan out to multiple collectors. Very large and fast-changing table - slow to query.,One row per issued command,3,COMMANDID,,,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COMMANDLOG,Command Log,Commands issued by the Central Server. A single command may fan out to multiple collectors. Very large and fast-changing table - slow to query.,One row per issued command,4,COMMANDTYPEID,Command Type Identifier,Type of command issued.,NUMBER,22,10.0,0.0,False
CENTRALSERVICES,COMMANDLOG,Command Log,Commands issued by the Central Server. A single command may fan out to multiple collectors. Very large and fast-changing table - slow to query.,One row per issued command,5,SPUID,Collector Identifier,Collector the command was routed through.,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COMMANDLOG,Command Log,Commands issued by the Central Server. A single command may fan out to multiple collectors. Very large and fast-changing table - slow to query.,One row per issued command,6,ADDRESSTYPE,,,VARCHAR2,1,,,False
CENTRALSERVICES,COMMANDLOG,Command Log,Commands issued by the Central Server. A single command may fan out to multiple collectors. Very large and fast-changing table - slow to query.,One row per issued command,7,ENDPOINTID,Endpoint Identifier,Endpoint the command targeted.,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COMMANDLOG,Command Log,Commands issued by the Central Server. A single command may fan out to multiple collectors. Very large and fast-changing table - slow to query.,One row per issued command,8,GROUPID,,,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COMMANDLOG,Command Log,Commands issued by the Central Server. A single command may fan out to multiple collectors. Very large and fast-changing table - slow to query.,One row per issued command,9,REQUESTID,,,NUMBER,22,3.0,0.0,True
CENTRALSERVICES,COMMANDLOG,Command Log,Commands issued by the Central Server. A single command may fan out to multiple collectors. Very large and fast-changing table - slow to query.,One row per issued command,10,PACKETDEFINITIONID,,,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COMMANDLOG,Command Log,Commands issued by the Central Server. A single command may fan out to multiple collectors. Very large and fast-changing table - slow to query.,One row per issued command,11,COMMAND,,,VARCHAR2,2000,,,True
CENTRALSERVICES,COMMANDLOG,Command Log,Commands issued by the Central Server. A single command may fan out to multiple collectors. Very large and fast-changing table - slow to query.,One row per issued command,12,PRIORITY,,,NUMBER,22,3.0,0.0,True
CENTRALSERVICES,COMMANDLOG,Command Log,Commands issued by the Central Server. A single command may fan out to multiple collectors. Very large and fast-changing table - slow to query.,One row per issued command,13,ISSUEDBY,Issued By (User),User who issued the command.,NUMBER,22,10.0,0.0,False
CENTRALSERVICES,COMMANDLOG,Command Log,Commands issued by the Central Server. A single command may fan out to multiple collectors. Very large and fast-changing table - slow to query.,One row per issued command,14,ISSUED,Issued Date/Time,When the command was issued.,DATE,7,,,False
CENTRALSERVICES,COMMANDLOG,Command Log,Commands issued by the Central Server. A single command may fan out to multiple collectors. Very large and fast-changing table - slow to query.,One row per issued command,15,COMMANDCODE,,,NUMBER,22,3.0,0.0,True
CENTRALSERVICES,COMMANDLOG,Command Log,Commands issued by the Central Server. A single command may fan out to multiple collectors. Very large and fast-changing table - slow to query.,One row per issued command,16,OISSUED,,,NUMBER,22,5.0,0.0,True
CENTRALSERVICES,COMMANDLOG,Command Log,Commands issued by the Central Server. A single command may fan out to multiple collectors. Very large and fast-changing table - slow to query.,One row per issued command,17,ISCANCEL,,,NUMBER,22,1.0,0.0,False
CENTRALSERVICES,COMMANDLOG,Command Log,Commands issued by the Central Server. A single command may fan out to multiple collectors. Very large and fast-changing table - slow to query.,One row per issued command,18,DOWNSTREAMSENDCOUNT,,,NUMBER,22,3.0,0.0,True
CENTRALSERVICES,COMMANDLOG,Command Log,Commands issued by the Central Server. A single command may fan out to multiple collectors. Very large and fast-changing table - slow to query.,One row per issued command,19,USERCOMMANDTYPEID,,,NUMBER,22,10.0,0.0,False
CENTRALSERVICES,COMMANDLOG,Command Log,Commands issued by the Central Server. A single command may fan out to multiple collectors. Very large and fast-changing table - slow to query.,One row per issued command,20,COMMANDLOGCOLLECTIONID,,,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COMMANDLOG,Command Log,Commands issued by the Central Server. A single command may fan out to multiple collectors. Very large and fast-changing table - slow to query.,One row per issued command,21,CMDBROADCASTPARAMETERID,,,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COMMANDLOG,Command Log,Commands issued by the Central Server. A single command may fan out to multiple collectors. Very large and fast-changing table - slow to query.,One row per issued command,22,EXPECTEDEPCOUNT,,,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COMMANDLOG,Command Log,Commands issued by the Central Server. A single command may fan out to multiple collectors. Very large and fast-changing table - slow to query.,One row per issued command,23,NETWORKENCRYPTIONKEYID,,,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COMMANDLOG,Command Log,Commands issued by the Central Server. A single command may fan out to multiple collectors. Very large and fast-changing table - slow to query.,One row per issued command,24,RFUCMDTTLNCD,,,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COMMANDLOG,Command Log,Commands issued by the Central Server. A single command may fan out to multiple collectors. Very large and fast-changing table - slow to query.,One row per issued command,25,MAXLANCMDHOPSNCD,,,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COMMANDLOG,Command Log,Commands issued by the Central Server. A single command may fan out to multiple collectors. Very large and fast-changing table - slow to query.,One row per issued command,26,INTGMSGID,,,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COMMANDLOG,Command Log,Commands issued by the Central Server. A single command may fan out to multiple collectors. Very large and fast-changing table - slow to query.,One row per issued command,27,CMDISSUERID,,,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COMMANDLOG,Command Log,Commands issued by the Central Server. A single command may fan out to multiple collectors. Very large and fast-changing table - slow to query.,One row per issued command,28,PARENTCMDLOGCLCTNID,,,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COMMANDLOG,Command Log,Commands issued by the Central Server. A single command may fan out to multiple collectors. Very large and fast-changing table - slow to query.,One row per issued command,29,PARENTISSUEDDTM,,,TIMESTAMP(6),11,,6.0,True
CENTRALSERVICES,COMMANDRESPONSE,Command Response,Stores the status and response received for sent commands.,One row per command response,1,COMMANDRESPONSEID,,,NUMBER,22,10.0,0.0,False
CENTRALSERVICES,COMMANDRESPONSE,Command Response,Stores the status and response received for sent commands.,One row per command response,2,STATUSCODEID,Status Code Identifier,Response status of the command.,NUMBER,22,10.0,0.0,False
CENTRALSERVICES,COMMANDRESPONSE,Command Response,Stores the status and response received for sent commands.,One row per command response,3,RESPONSE,,,CLOB,4000,,,True
CENTRALSERVICES,COMMANDRESPONSE,Command Response,Stores the status and response received for sent commands.,One row per command response,4,RESPONSEDATETIME,Response Date/Time,When the command response was received.,TIMESTAMP(6),11,,6.0,True
CENTRALSERVICES,COMMANDRESPONSE,Command Response,Stores the status and response received for sent commands.,One row per command response,5,COMMANDLOGID,,,NUMBER,22,10.0,0.0,False
CENTRALSERVICES,COMMANDRESPONSE,Command Response,Stores the status and response received for sent commands.,One row per command response,6,ENDPOINTID,,,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COMMANDRESPONSE,Command Response,Stores the status and response received for sent commands.,One row per command response,7,LOGDTTM,,,DATE,7,,,False
CENTRALSERVICES,COMMANDRESPONSE,Command Response,Stores the status and response received for sent commands.,One row per command response,8,COLLECTORID,,,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COMMANDRESPONSE,Command Response,Stores the status and response received for sent commands.,One row per command response,9,READINGDATE,,,DATE,7,,,True
CENTRALSERVICES,COMMANDSSENT,Commands Sent,"Tracks the sending of messages to collectors and ties a command to one or more collectors, with sent and completed timestamps.",One row per command sent to a collector,1,COMMANDSENTID,,,NUMBER,22,10.0,0.0,False
CENTRALSERVICES,COMMANDSSENT,Commands Sent,"Tracks the sending of messages to collectors and ties a command to one or more collectors, with sent and completed timestamps.",One row per command sent to a collector,2,SPUID,,,NUMBER,22,10.0,0.0,False
CENTRALSERVICES,COMMANDSSENT,Commands Sent,"Tracks the sending of messages to collectors and ties a command to one or more collectors, with sent and completed timestamps.",One row per command sent to a collector,3,SENT,Sent Date/Time,When the message was successfully sent to the collector.,TIMESTAMP(6),11,,6.0,True
CENTRALSERVICES,COMMANDSSENT,Commands Sent,"Tracks the sending of messages to collectors and ties a command to one or more collectors, with sent and completed timestamps.",One row per command sent to a collector,4,COMMANDLOGID,,,NUMBER,22,10.0,0.0,False
CENTRALSERVICES,COMMANDSSENT,Commands Sent,"Tracks the sending of messages to collectors and ties a command to one or more collectors, with sent and completed timestamps.",One row per command sent to a collector,5,COMPLETED,Completed Date/Time,When the command completed.,TIMESTAMP(6),11,,6.0,True
CENTRALSERVICES,COMMANDSSENT,Commands Sent,"Tracks the sending of messages to collectors and ties a command to one or more collectors, with sent and completed timestamps.",One row per command sent to a collector,6,OCOMPLETED,,,NUMBER,22,5.0,0.0,True
CENTRALSERVICES,COMMANDSSENT,Commands Sent,"Tracks the sending of messages to collectors and ties a command to one or more collectors, with sent and completed timestamps.",One row per command sent to a collector,7,COMMANDSTATUSCODEID,Command Status Code Identifier,Sent status of the command.,NUMBER,22,3.0,0.0,False
CENTRALSERVICES,COMMANDSSENT,Commands Sent,"Tracks the sending of messages to collectors and ties a command to one or more collectors, with sent and completed timestamps.",One row per command sent to a collector,8,SENTCOUNT,,,NUMBER,22,5.0,0.0,False
CENTRALSERVICES,COMMANDSSENT,Commands Sent,"Tracks the sending of messages to collectors and ties a command to one or more collectors, with sent and completed timestamps.",One row per command sent to a collector,9,LOGDTTM,,,DATE,7,,,False
CENTRALSERVICES,COMMANDSSENT,Commands Sent,"Tracks the sending of messages to collectors and ties a command to one or more collectors, with sent and completed timestamps.",One row per command sent to a collector,10,PACKETCONTENTS,,,RAW,2000,,,True
CENTRALSERVICES,COMMANDSSENT,Commands Sent,"Tracks the sending of messages to collectors and ties a command to one or more collectors, with sent and completed timestamps.",One row per command sent to a collector,11,DOWNSTREAMSENDCOUNT,,,NUMBER,22,,,True
CENTRALSERVICES,COMMANDSSENT,Commands Sent,"Tracks the sending of messages to collectors and ties a command to one or more collectors, with sent and completed timestamps.",One row per command sent to a collector,12,COMMANDID,,,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COMMANDSSENT,Commands Sent,"Tracks the sending of messages to collectors and ties a command to one or more collectors, with sent and completed timestamps.",One row per command sent to a collector,13,ENDPOINTID,,,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COMMANDSSENT,Commands Sent,"Tracks the sending of messages to collectors and ties a command to one or more collectors, with sent and completed timestamps.",One row per command sent to a collector,14,METERNO,Meter Number,Meter number the command was addressed to.,VARCHAR2,20,,,True
CENTRALSERVICES,COMMANDSSENT,Commands Sent,"Tracks the sending of messages to collectors and ties a command to one or more collectors, with sent and completed timestamps.",One row per command sent to a collector,15,RTRYCNT,,,NUMBER,22,3.0,0.0,True
